Wavelength,Reflectance,Transmittance
1469,0.2309,0.3839
1470,0.2312,0.3844
1471,0.231,0.3864
1472,0.2321,0.3866
1473,0.233,0.3873
1474,0.2339,0.3881
1475,0.2345,0.3888
1476,0.2362,0.3898
1477,0.2369,0.3914
1478,0.2377,0.3924
1479,0.2387,0.3937
1480,0.2403,0.3947
1481,0.2406,0.3962
1482,0.241,0.3968
1483,0.2427,0.3986
1484,0.2436,0.3991
1485,0.2447,0.4009
1486,0.2458,0.4023
1487,0.2452,0.4027
1488,0.2468,0.404
1489,0.2487,0.4053
1490,0.2489,0.406
1491,0.2505,0.4074
1492,0.2506,0.4085
1493,0.2531,0.4098
1494,0.2541,0.4119
1495,0.2546,0.413
1496,0.2554,0.4145
1497,0.2565,0.4159
1498,0.2578,0.4162
1499,0.2593,0.4184
1500,0.2609,0.4191
1501,0.2609,0.4198
1502,0.2616,0.4208
1503,0.2624,0.4229
1504,0.2629,0.4246
1505,0.2652,0.425
1506,0.2656,0.4262
1507,0.2673,0.4276
1508,0.2674,0.4281
1509,0.269,0.4295
1510,0.2702,0.4308
1511,0.2712,0.431
1512,0.2716,0.4326
1513,0.2731,0.4333
1514,0.2749,0.4353
1515,0.2747,0.4374
1516,0.2759,0.4375
1517,0.2757,0.4385
1518,0.2772,0.4396
1519,0.2783,0.4405
1520,0.2786,0.4419
1521,0.2794,0.4433
1522,0.2821,0.4445
1523,0.2837,0.4451
1524,0.2835,0.4463
1525,0.2839,0.447
1526,0.2853,0.4478
1527,0.286,0.4482
1528,0.2872,0.4495
1529,0.2877,0.4506
1530,0.2888,0.4519
1531,0.2897,0.4527
