%global
    time = "2022-01-01/48"
    
%groundwater
    id = "0"
    
%data
* *	*	watertable
2022	100	8	1.96
2022	100	9	1.96
2022	100	10	1.959
2022	100	11	1.96
2022	100	12	1.961
2022	100	13	1.961
2022	100	14	1.961
2022	100	15	1.96
2022	100	16	1.96
2022	100	17	1.961
2022	100	18	1.961
2022	100	19	1.961
2022	100	20	1.96
2022	100	21	1.959
2022	100	22	1.958
2022	100	23	1.957
2022	100	24	1.957
2022	100	25	1.956
2022	100	26	1.956
2022	100	27	1.955
2022	100	28	1.956
2022	100	29	1.956
2022	100	30	1.959
2022	100	31	1.961
2022	100	32	1.962
2022	100	33	1.965
2022	100	34	1.966
2022	100	35	1.968
2022	100	36	1.966
2022	100	37	1.967
2022	100	38	1.967
2022	100	39	1.968
2022	100	40	1.969
2022	100	41	1.969
2022	100	42	1.97
2022	100	43	1.971
2022	100	44	1.972
2022	100	45	1.973
2022	100	46	1.974
2022	100	47	1.976
2022	100	48	1.977
2022	101	1	1.977
2022	101	2	1.979
2022	101	3	1.979
2022	101	4	1.979
2022	101	5	1.981
2022	101	6	1.981
2022	101	7	1.981
2022	101	8	1.982
2022	101	9	1.981
2022	101	10	1.982
2022	101	11	1.981
2022	101	12	1.982
2022	101	13	1.981
2022	101	14	1.98
2022	101	15	1.98
2022	101	16	1.98
2022	101	17	1.979
2022	101	18	1.978
2022	101	19	1.979
2022	101	20	1.98
2022	101	21	1.98
2022	101	22	1.98
2022	101	23	1.981
2022	101	24	1.981
2022	101	25	1.982
2022	101	26	1.983
2022	101	27	1.985
2022	101	28	1.987
2022	101	29	1.989
2022	101	30	1.991
2022	101	31	1.993
2022	101	32	1.995
2022	101	33	1.997
2022	101	34	1.999
2022	101	35	1.998
2022	101	36	2
2022	101	37	2.001
2022	101	38	2.001
2022	101	39	2.001
2022	101	40	2.001
2022	101	41	2
2022	101	42	2.001
2022	101	43	2.002
2022	101	44	2.002
2022	101	45	2.003
2022	101	46	2.003
2022	101	47	2.004
2022	101	48	2.004
2022	102	1	2.003
2022	102	2	2.004
2022	102	3	2.005
2022	102	4	2.005
2022	102	5	2.005
2022	102	6	2.005
2022	102	7	2.005
2022	102	8	2.005
2022	102	9	2.005
2022	102	10	2.004
2022	102	11	2.004
2022	102	12	2.003
2022	102	13	2.002
2022	102	14	2.002
2022	102	15	2.003
2022	102	16	2
2022	102	17	2.001
2022	102	18	2.001
2022	102	19	2
2022	102	20	2.002
2022	102	21	2.003
2022	102	22	2.003
2022	102	23	2.004
2022	102	24	2.005
2022	102	25	2.006
2022	102	26	2.008
2022	102	27	2.009
2022	102	28	2.01
2022	102	29	2.011
2022	102	30	2.012
2022	102	31	2.013
2022	102	32	2.014
2022	102	33	2.015
2022	102	34	2.017
2022	102	35	2.018
2022	102	36	2.02
2022	102	37	2.021
2022	102	38	2.022
2022	102	39	2.022
2022	102	40	2.023
2022	102	41	2.023
2022	102	42	2.025
2022	102	43	2.025
2022	102	44	2.025
2022	102	45	2.026
2022	102	46	2.025
2022	102	47	2.025
2022	102	48	2.025
2022	103	1	2.024
2022	103	2	2.024
2022	103	3	2.023
2022	103	4	2.023
2022	103	5	2.022
2022	103	6	2.022
2022	103	7	2.022
2022	103	8	2.022
2022	103	9	2.022
2022	103	10	2.02
2022	103	11	2.02
2022	103	12	2.02
2022	103	13	2.019
2022	103	14	2.018
2022	103	15	2.017
2022	103	16	2.016
2022	103	17	2.017
2022	103	18	2.018
2022	103	19	2.017
2022	103	20	2.018
2022	103	21	2.019
2022	103	22	2.02
2022	103	23	2.021
2022	103	24	2.021
2022	103	25	2.022
2022	103	26	2.022
2022	103	27	2.023
2022	103	28	2.024
2022	103	29	2.025
2022	103	30	2.027
2022	103	31	2.029
2022	103	32	2.029
2022	103	33	2.03
2022	103	34	2.032
2022	103	35	2.033
2022	103	36	2.034
2022	103	37	2.034
2022	103	38	2.034
2022	103	39	2.036
2022	103	40	2.036
2022	103	41	2.036
2022	103	42	2.036
2022	103	43	2.036
2022	103	44	2.037
2022	103	45	2.037
2022	103	46	2.038
2022	103	47	2.037
2022	103	48	2.036
2022	104	1	2.037
2022	104	2	2.036
2022	104	3	2.036
2022	104	4	2.036
2022	104	5	2.036
2022	104	6	2.036
2022	104	7	2.035
2022	104	8	2.035
2022	104	9	2.035
2022	104	10	2.034
2022	104	11	2.035
2022	104	12	2.033
2022	104	13	2.033
2022	104	14	2.033
2022	104	15	2.033
2022	104	16	2.034
2022	104	17	2.033
2022	104	18	2.033
2022	104	19	2.034
2022	104	20	2.034
2022	104	21	2.034
2022	104	22	2.034
2022	104	23	2.033
2022	104	24	2.032
2022	104	25	2.033
2022	104	26	2.034
2022	104	27	2.035
2022	104	28	2.035
2022	104	29	2.036
2022	104	30	2.035
2022	104	31	2.036
2022	104	32	2.036
2022	104	33	2.036
2022	104	34	2.037
2022	104	35	2.037
2022	104	36	2.037
2022	104	37	2.037
2022	104	38	2.036
2022	104	39	2.036
2022	104	40	2.036
2022	104	41	2.036
2022	104	42	2.035
2022	104	43	2.035
2022	104	44	2.035
2022	104	45	2.035
2022	104	46	2.035
2022	104	47	2.035
2022	104	48	2.034
2022	105	1	2.034
2022	105	2	2.034
2022	105	3	2.034
2022	105	4	2.033
2022	105	5	2.034
2022	105	6	2.033
2022	105	7	2.033
2022	105	8	2.033
2022	105	9	2.032
2022	105	10	2.032
2022	105	11	2.031
2022	105	12	2.031
2022	105	13	2.03
2022	105	14	2.03
2022	105	15	2.03
2022	105	16	2.029
2022	105	17	2.029
2022	105	18	2.028
2022	105	19	2.028
2022	105	20	2.029
2022	105	21	2.028
2022	105	22	2.028
2022	105	23	2.028
2022	105	24	2.028
2022	105	25	2.028
2022	105	26	2.028
2022	105	27	2.028
2022	105	28	2.029
2022	105	29	2.028
2022	105	30	2.028
2022	105	31	2.028
2022	105	32	2.028
2022	105	33	2.029
2022	105	34	2.028
2022	105	35	2.028
2022	105	36	2.027
2022	105	37	2.027
2022	105	38	2.026
2022	105	39	2.026
2022	105	40	2.026
2022	105	41	2.026
2022	105	42	2.025
2022	105	43	2.025
2022	105	44	2.025
2022	105	45	2.025
2022	105	46	2.025
2022	105	47	2.025
2022	105	48	2.024
2022	106	1	2.024
2022	106	2	2.024
2022	106	3	2.024
2022	106	4	2.023
2022	106	5	2.022
2022	106	6	2.022
2022	106	7	2.021
2022	106	8	2.02
2022	106	9	2.019
2022	106	10	2.019
2022	106	11	2.018
2022	106	12	2.017
2022	106	13	2.017
2022	106	14	2.015
2022	106	15	2.015
2022	106	16	2.015
2022	106	17	2.015
2022	106	18	2.016
2022	106	19	2.018
2022	106	20	2.02
2022	106	21	2.022
2022	106	22	2.023
2022	106	23	2.024
2022	106	24	2.024
2022	106	25	2.023
2022	106	26	2.024
2022	106	27	2.024
2022	106	28	2.023
2022	106	29	2.022
2022	106	30	2.022
2022	106	31	2.021
2022	106	32	2.022
2022	106	33	2.022
2022	106	34	2.021
2022	106	35	2.021
2022	106	36	2.021
2022	106	37	2.021
2022	106	38	2.02
2022	106	39	2.02
2022	106	40	2.02
2022	106	41	2.02
2022	106	42	2.019
2022	106	43	2.019
2022	106	44	2.019
2022	106	45	2.018
2022	106	46	2.018
2022	106	47	2.018
2022	106	48	2.017
2022	107	1	2.017
2022	107	2	2.016
2022	107	3	2.015
2022	107	4	2.015
