 Wavelength Refl Tran
1290 0.4234 0.4726 
1291 0.4233 0.4723 
1292 0.4233 0.4723 
1293 0.4223 0.4724 
1294 0.4226 0.4726 
1295 0.4219 0.4717 
1296 0.4213 0.4708 
1297 0.4220 0.4707 
1298 0.4212 0.4700 
1299 0.4210 0.4701 
1300 0.4197 0.4693 
1301 0.4190 0.4692 
1302 0.4191 0.4692 
1303 0.4186 0.4683 
1304 0.4179 0.4674 
1305 0.4178 0.4669 
1306 0.4169 0.4670 
1307 0.4170 0.4656 
1308 0.4167 0.4660 
1309 0.4162 0.4657 
1310 0.4155 0.4648 
1311 0.4148 0.4642 
1312 0.4148 0.4632 
1313 0.4142 0.4631 
1314 0.4132 0.4630 
1315 0.4116 0.4619 
1316 0.4107 0.4610 
1317 0.4096 0.4598 
1318 0.4098 0.4590 
1319 0.4089 0.4582 
1320 0.4077 0.4572 
1321 0.4072 0.4565 
1322 0.4058 0.4546 
1323 0.4057 0.4556 
1324 0.4051 0.4548 
1325 0.4036 0.4532 
1326 0.4028 0.4514 
1327 0.4015 0.4512 
1328 0.4000 0.4485 
1329 0.3999 0.4495 
1330 0.4001 0.4486 
1331 0.3983 0.4468 
1332 0.3970 0.4456 
1333 0.3962 0.4448 
1334 0.3951 0.4446 
1335 0.3945 0.4429 
1336 0.3928 0.4403 
1337 0.3924 0.4402 
1338 0.3913 0.4395 
1339 0.3904 0.4380 
1340 0.3895 0.4370 
1341 0.3880 0.4358 
1342 0.3867 0.4350 
1343 0.3859 0.4342 
1344 0.3854 0.4325 
1345 0.3844 0.4309 
1346 0.3834 0.4308 
1347 0.3832 0.4299 
1348 0.3822 0.4290 
1349 0.3808 0.4271 
1350 0.3790 0.4257 
1351 0.3787 0.4252 
1352 0.3781 0.4231 
1353 0.3769 0.4233 
1354 0.3766 0.4222 
1355 0.3756 0.4215 
1356 0.3734 0.4192 
1357 0.3728 0.4190 
1358 0.3723 0.4186 
1359 0.3716 0.4181 
1360 0.3711 0.4181 
1361 0.3703 0.4177 
1362 0.3698 0.4168 
1363 0.3684 0.4172 
1364 0.3669 0.4162 
1365 0.3660 0.4147 
1366 0.3646 0.4132 
1367 0.3633 0.4120 
1368 0.3622 0.4106 
1369 0.3604 0.4085 
1370 0.3589 0.4063 
1371 0.3576 0.4036 
1372 0.3553 0.4009 
1373 0.3520 0.3980 
1374 0.3491 0.3933 
1375 0.3468 0.3899 
1376 0.3437 0.3867 
1377 0.3395 0.3829 
1378 0.3363 0.3810 
1379 0.3333 0.3774 
1380 0.3310 0.3739 
1381 0.3280 0.3707 
1382 0.3235 0.3662 
1383 0.3183 0.3610 
1384 0.3118 0.3553 
1385 0.3072 0.3490 
1386 0.3027 0.3425 
1387 0.2967 0.3364 
1388 0.2906 0.3296 
1389 0.2845 0.3216 
1390 0.2790 0.3142 
1391 0.2733 0.3075 
1392 0.2679 0.3020 
1393 0.2627 0.2946 
1394 0.2555 0.2868 
