Species,Family,Authority,Growth Form,Exotic,
Ageratina glyptophlebia,Asteraceae,(B. Robinson) B. RobinsonR. King & H. Robinson,S,,
Ageratina gracilenta,Asteraceae,(B.L. Rob.) R.M. King & H. Rob.,S,,
Ageratina gracilis,Asteraceae,(Kunth) KunthR. King & H. Robinson,S,,
Ageratina infiernillensis,Asteraceae,R.M. King & H. Rob.,S,,
Ageratina lopezmirandae,Asteraceae,R.M. King & H. Rob.,S,,
Ageratina macbridei,Asteraceae,(B. Robinson) B. RobinsonR. King & H. Robinson,S,,
Ageratina pampalcensis,Asteraceae,(B.L. Rob.) R.M. King & H. Rob.,S,,
Ageratina pentlandiana,Asteraceae,(DC.) R.M. King & H. Rob.,S,,
Ageratina pichinchensis,Asteraceae,(Kunth) R.M. King & H. Rob.,S,,
Ageratina piurae,Asteraceae,(B.L. Rob.) R.M. King & H. Rob.,S,,
Ageratina proba,Asteraceae,(N.E. Br.) R.M. King & H. Rob.,S,,
Ageratina prunifolia,Asteraceae,(Kunth) KunthR. King & H. Robinson,S,,
Ageratina pseudochilca,Asteraceae,(Benth.) Benth.R. King & H. Robinson,S,,
Ageratina rhodopappa,Asteraceae,(B. Robinson) B. RobinsonR. King & H. Robinson,S,,
Ageratina rhytidodes,Asteraceae,(B.L. Rob.) R.M. King & H. Rob.,S,,
Ageratina riparia,Asteraceae,(Regel) R.M. King & H. Rob.,S,,
Ageratina scopulorum,Asteraceae,(Wedd.) R.M. King & H. Rob.,S,,
Ageratina simulans,Asteraceae,(B.L. Rob.) R.M. King & H. Rob.,S,,
Ageratina sodiroi,Asteraceae,(Hieron.) Hieron.R. King & H. Robinson,S,,
Ageratina sternbergiana,Asteraceae,(DC.) R.M. King & H. Rob.,S,,
Ageratina stictophylla,Asteraceae,(B.L. Rob.) R.M. King & H. Rob.,S,,
Ageratina subferruginea,Asteraceae,(B.L. Rob.) R.M. King & H. Rob.,S,,
Ageratina tambillensis,Asteraceae,(Hieron.) R.M. King & H. Rob.,S,,
Ageratina tarmensis,Asteraceae,(B.L. Rob.) R.M. King & H. Rob.,S,,
Ageratina tinifolia,Asteraceae,(Kunth) KunthR. King & H. Robinson,S,,
Ageratina viscosa,Asteraceae,(Kunth) KunthR. King & H. Robinson,S,,
Ageratum conyzoides,Asteraceae,L.,S,,
Agonandra brasiliensis,Opiliaceae,Miers ex Benth. & Hook. f.,T,,
Agonandra excelsa,Opiliaceae,Griseb.,"U,S",,
Agonandra peruviana,Opiliaceae,Hiepko,>10 cm dbh,,
Agonandra silvatica,Opiliaceae,Ducke,T,,
Agouticarpa curviflora,Rubiaceae,(Dwyer) C. Persson,"S,T",,
Agouticarpa williamsii,Rubiaceae,(Standl.) C. Persson,T,,
Aiouea costaricensis,Lauraceae,(Mez) Kosterm.,T,,
Aiouea dubia,Lauraceae,(Kunth) Mez,"T,U,S",,
Aiouea grandifolia,Lauraceae,van der Werff,>10 cm dbh,,
Aiouea guianensis,Lauraceae,Aubl.,,,
Aiouea impressa,Lauraceae,(Meisn.) Kosterm.,T,,
Aiouea laevis,Lauraceae,(Mart.) Kosterm.,T,,
Aiouea longipetiolata,Lauraceae,van der Werff,,,
Aiouea maguireana,Lauraceae,(C.K. Allen) S.S. Renner,>10 cm dbh,,
Aiouea myristicoides,Lauraceae,Mez,>10 cm dbh,,
Aiouea opaca,Lauraceae,van der Werff,,,
Aiouea tomentella,Lauraceae,(Mez) S.S. Renner,T,,
Aiouea trinervis,Lauraceae,Meisn. in A. DC.,,,
Aiphanes acanthophylla,Arecaceae,(C. Martius) Burret,,,
Aiphanes aculeata,Arecaceae,Willd.,"T,S",,
Aiphanes chiribogensis,Arecaceae,Borchs. & Balslev,S,,
Aiphanes deltoidea,Arecaceae,Burret,T,,
Aiphanes eggersii,Arecaceae,Burret,S,,
Aiphanes erinacea,Arecaceae,H. A. Wendl.,S,,
Aiphanes erinaceae,Arecaceae,(H. Karst.) H. Wendl.,S,,
Aiphanes gelatinosa,Arecaceae,H. Moore,U,,
Aiphanes grandis,Arecaceae,Borchs. & Balslev,T,,
Aiphanes hirsuta,Arecaceae,Burret,S,,
Aiphanes macroloba,Arecaceae,Burret,S,,
Aiphanes minima,Arecaceae,(Gaertn.) Burret,T,,
Aiphanes tricuspidata,Arecaceae,"Borchs., R. Bernal & M. Ruiz",S,,
Aiphanes ulei,Arecaceae,(Dammer) Burret,U,,
Aiphanes verrucosa,Arecaceae,Borchs. & Balslev,"T,S",,
Aiphanes weberbaueri,Arecaceae,Burret,S,,
Albizia adinocephala,Fabaceae-mimosoideae,(Donn. Sm.) Britton & Rose,M,,
Albizia carbonaria,Fabaceae-mimosoideae,Britton,T,,
Albizia corymbosa,Fabaceae-mimosoideae,(Rich.) Rich.G.P. Lewis & P.E. Owen,,,
Albizia julibrissin,Fabaceae-mimosoideae,Durazz.,T,,
