plot	subplot	census_date	easting	northing	adult_density	sapling_density	ABG_biomass
P59	3	8/2/2004	710208	5092657	477.8530064421	6078.8358697737	62.249997968
P59	4	8/2/2004	710146	5092644	1194.6325161051	552.6214427067	141.2791032051
P6	1	7/7/2004	711062.225	5091050.721	537.5846322473	2763.1072135335	184.4767559152
P6	2	7/7/2004	711064	5091099	537.5846322473	4973.5929843603	119.5718529639
P6	3	7/7/2004	711091	5091040	776.5111354683	5526.214427067	269.384403709
P6	4	7/7/2004	711031	5091039	895.9743870789	4420.9715416536	236.2069078419
P60	1	7/28/2004	709958.225	5092963.112	59.7316258053	2210.4857708268	51.6973970546
P60	2	7/28/2004	709933	5093015	895.9743870789	552.6214427067	263.5073715503
P60	3	7/28/2004	709962	5092960	1075.1692644946	0	256.1541268814
P60	4	7/28/2004	709896	5092973	358.3897548315	8841.9430833071	281.7665337502
P61	1	7/27/2004	710947.469	5093220.441	119.4632516105	16026.0218384942	57.252337307
P61	2	7/29/2004	710986	5093270	657.0478838578	7184.0787551871	84.6377937723
P61	3	7/29/2004	711019	5093217	179.1948774158	29841.5579061616	42.6281600679
P61	4	7/29/2004	710942	5093230	597.3162580526	4420.9715416536	202.6371565304
P62	1	7/26/2004	711469.546	5093203.893	298.6581290263	0	91.4498420561
P62	2	7/26/2004	711479	5093247	238.926503221	2763.1072135335	91.1955006905
P62	3	7/26/2004	711488	5093171	119.4632516105	2210.4857708268	35.8784688192
P62	4	7/26/2004	711459	5093186	477.8530064421	1657.8643281201	122.1358327952
P63	1	7/27/2004	712020.695	5092522.826	477.8530064421	7184.0787551871	59.3963781335
P63	2	7/27/2004	712005	5092563	179.1948774158	10499.8074114272	49.1940904649
P63	3	7/27/2004	712053	5092500	776.5111354683	8289.3216406004	92.7831850785
P63	4	7/27/2004	711994	5092499	298.6581290263	7736.7001978937	84.8434416284
P64	1	7/27/2004	712132.642	5092295.01	537.5846322473	9394.5645260138	63.0632011244
P64	2	7/27/2004	712123	5092333	537.5846322473	13262.9146249607	100.6561817912
P64	3	7/27/2004	712159	5092271	836.2427612736	6631.4573124804	125.9968720564
P64	4	7/27/2004	712103	5092280	119.4632516105	6631.4573124804	23.1138647159
P65	1	7/15/2004	712529.234	5092285.657	179.1948774158	13262.9146249607	29.6562691534
P65	2	7/15/2004	712526	5092312	597.3162580526	7736.7001978937	122.9300558425
P65	3	7/15/2004	712565	5092271	537.5846322473	7184.0787551871	96.7774023521
P65	4	7/15/2004	712501	5092258	657.0478838578	11605.0502968406	144.6789318513
P66	1	7/19/2004	712821.687	5092626.143	0	1105.2428854134	0.2625939816
P66	2	7/19/2004	712829	5092664	0	1657.8643281201	0.7125226788
P66	3	7/19/2004	712855	5092606	0	1657.8643281201	0.5893706437
P66	4	7/19/2004	712795	5092601	0	4420.9715416536	1.3601393956
