"year","years_per_iteration","surface_elevation","aboveground_biomass","belowground_biomass","totalRootVolume","sediment_delivered","rootToShoot","rootTurnover","abovegroundTurnover","rootDepthMax","rootPackingDensity","lambda","rootShape","cumulativeTotalOm","cumulativeSequesteredOm","omFlux","omSequestration","cFlux","cSequestration"
1979,1,20.9547315557434,0.0408187076489297,0.0693918030031805,0.991311471474007,0.000120785541874898,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,70.7060044149961,70.5852933737496,0.0364753846217525,0.0437201297618515,0.0175081846184412,0.0209856622856887
1980,1,21.3212710677856,0.0387583744657429,0.065889236591763,0.941274808453757,0.00011200539294908,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,70.7405612363615,70.6261968258998,0.034556821365328,0.0409034521501468,0.0165872742553574,0.0196336570320705
1981,1,21.6712305401727,0.0370573095127547,0.0629974261716829,0.899963231024042,0.000105278796428683,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,70.7736985641221,70.6646752962144,0.0331373277605991,0.0384784703146579,0.0159059173250876,0.0184696657510358
1982,1,22.0089212184743,0.0357222964040655,0.0607279038869114,0.867541484098735,0.000100297303143751,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,70.805881668344,70.7011511673623,0.0321831042219571,0.0364758711478288,0.0154478900265394,0.0175084181509578
1983,1,22.3384672628787,0.0347466973376713,0.0590693854740413,0.843848363914875,9.68099325605506e-05,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,70.8375378602401,70.7360547505203,0.0316561918960474,0.0349035831580409,0.0151949721101028,0.0167537199158596
1984,1,22.6637539113107,0.0341155715659218,0.0579964716620671,0.828521023743816,9.46190478656791e-05,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,70.8690564926933,70.769808514417,0.0315186324532277,0.033753763896712,0.0151289435775493,0.0162018066704218
1985,1,22.9884047087788,0.0338094090133352,0.0574759953226698,0.821085647466711,9.35740399939811e-05,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,70.9007916371343,70.8028173301555,0.0317351444410008,0.033008815738512,0.0152328693316804,0.0158442315544858
1986,1,23.3106111843139,0.0335939179442464,0.0571096605052188,0.815852292931698,9.28453480993618e-05,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,70.9327038032256,70.8354631040132,0.0319121660913311,0.0326457738576522,0.0153178397238389,0.0156699714516731
1987,1,23.6291741223458,0.033344567638298,0.0566857649851065,0.809796642644379,9.20091095629163e-05,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,70.964412340244,70.8678524112873,0.0317085370183179,0.0323893072741015,0.0152200977687926,0.0155468674915687
1988,1,23.9460862599645,0.0331442556322392,0.0563452345748067,0.804931922497238,9.13426677909883e-05,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,70.9958693362107,70.8999454930212,0.0314569959667352,0.0320930817338763,0.0150993580640329,0.0154046792322606
1989,1,24.2621968277837,0.0330159149984868,0.0561270554974275,0.801815078534679,9.09181511776128e-05,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,71.0272673407912,70.9317999988397,0.0313980045804954,0.0318545058185578,0.0150710421986378,0.0152901627929077
1990,1,24.5793745287162,0.0330043284648502,0.0561073583902454,0.80153369128922,9.08799205917309e-05,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,71.0587949803411,70.9635005189631,0.0315276395499069,0.0317005201233513,0.0151332669839553,0.0152162496592086
1991,1,24.8994513206756,0.0331343023448822,0.0563283139862998,0.804690199804283,9.13096760748181e-05,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,71.0906845258198,70.9951842548574,0.0318895454786912,0.0316837358943332,0.0153069818297718,0.0152081932292799
1992,1,25.2246071646503,0.0334301977913409,0.0568313362452796,0.811876232075423,9.22954497642281e-05,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,71.1231734027574,71.0270175416871,0.0324888769376344,0.0318332868297233,0.0155946609300645,0.0152799776782672
1993,1,25.5571039457609,0.0339080032857046,0.0576436055856979,0.823480079795684,9.39093157359198e-05,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,71.1565126555765,71.0591953223378,0.0333392528191325,0.0321777806506418,0.0160028413531836,0.0154453347123081
1994,1,25.8993258312387,0.0345798955497896,0.0587858224346423,0.839797463352032,9.62260267864903e-05,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,71.1909557702381,71.0919313066663,0.0344431146615989,0.0327359843285109,0.0165326950375675,0.0157132724776852
1995,1,26.2536884419113,0.0354529922536899,0.0602700868312729,0.861001240446755,9.93221297968307e-05,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,71.2267573413203,71.1254534908066,0.0358015710821036,0.0335221841403239,0.0171847541194097,0.0160906483873555
1996,1,26.6226138655669,0.0365305827720275,0.0621019907124467,0.887171295892096,0.00010328346784524,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,71.264167805603,71.1599982113556,0.0374104642827149,0.0345447205490075,0.0179570228557031,0.0165814658635236
1997,1,27.0042320300992,0.0376371487313567,0.0639831528433064,0.914045040618663,0.00010752209555898,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,71.3031329099274,71.1958056462916,0.0389651043244186,0.0358074349359896,0.0187032500757209,0.017187568769275
1998,1,27.3965702178408,0.0386539812094517,0.065711768056068,0.938739543658113,0.000111579602478561,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,71.3432785744097,71.2329097154863,0.0401456644822673,0.0371040691947115,0.0192699189514883,0.0178099532134615
1999,1,27.8000556040026,0.039627106295786,0.0673660807028362,0.962372581469089,0.000115618214799231,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,71.3844359319685,71.2712048524359,0.0411573575588307,0.0382951369495572,0.0197555316282387,0.0183816657357875
2000,1,28.2140787491418,0.0405593678580565,0.068950925358696,0.985013219409943,0.000119639214928724,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,71.4266110070927,71.3106395818482,0.0421750751242485,0.0394347294123065,0.0202440360596393,0.0189286701179071
2001,1,28.6386256033209,0.041470169231373,0.0704992876933341,1.00713268133334,0.000123720720195679,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,71.4697925250487,71.3511657751232,0.0431815179559294,0.0405261932750705,0.0207271286188461,0.0194525727720338
2002,1,29.0735851445806,0.0423679458443376,0.0720255079353739,1.0289358276482,0.000127901810290195,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,71.5139923387971,71.3927581073926,0.0441998137484774,0.0415923322693317,0.0212159105992691,0.0199643194892792
2003,1,29.5190012016137,0.0432618800811042,0.0735451961378771,1.05064565911253,0.000132231556919646,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,71.5592207876886,71.4354011679489,0.0452284488914501,0.0426430605563439,0.021709655467896,0.0204686690670451
2004,1,29.9749431424182,0.044157913553643,0.075068453041193,1.07240647201704,0.000136750235990154,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,71.6054942433,71.4790903369274,0.046273455611356,0.0436891689785028,0.0222112586934509,0.0209708011096814
2005,1,30.4415340093418,0.0450608852239949,0.0766035048807913,1.0943357840113,0.00014149865906934,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,71.6528303841589,71.5238279763193,0.0473361408589454,0.0447376393918262,0.0227213476122938,0.0214740669080766
