 Wavelength Refl Tran
1264 0.3955 0.5229 
1265 0.3956 0.5230 
1266 0.3952 0.5225 
1267 0.3958 0.5224 
1268 0.3953 0.5226 
1269 0.3949 0.5229 
1270 0.3947 0.5229 
1271 0.3959 0.5233 
1272 0.3957 0.5231 
1273 0.3955 0.5226 
1274 0.3958 0.5229 
1275 0.3953 0.5226 
1276 0.3953 0.5237 
1277 0.3951 0.5232 
1278 0.3944 0.5225 
1279 0.3943 0.5225 
1280 0.3942 0.5228 
1281 0.3940 0.5227 
1282 0.3939 0.5223 
1283 0.3935 0.5219 
1284 0.3941 0.5232 
1285 0.3940 0.5216 
1286 0.3942 0.5225 
1287 0.3934 0.5216 
1288 0.3938 0.5224 
1289 0.3931 0.5218 
1290 0.3926 0.5211 
1291 0.3935 0.5215 
1292 0.3936 0.5219 
1293 0.3937 0.5213 
1294 0.3917 0.5200 
1295 0.3917 0.5193 
1296 0.3920 0.5204 
1297 0.3907 0.5204 
1298 0.3905 0.5200 
1299 0.3900 0.5197 
1300 0.3893 0.5189 
1301 0.3898 0.5170 
1302 0.3894 0.5182 
1303 0.3892 0.5183 
1304 0.3896 0.5170 
1305 0.3886 0.5179 
1306 0.3879 0.5176 
1307 0.3876 0.5164 
1308 0.3865 0.5168 
1309 0.3867 0.5165 
1310 0.3857 0.5156 
1311 0.3855 0.5153 
1312 0.3846 0.5152 
1313 0.3844 0.5150 
1314 0.3844 0.5149 
1315 0.3837 0.5123 
1316 0.3822 0.5119 
1317 0.3814 0.5117 
1318 0.3805 0.5112 
1319 0.3803 0.5110 
1320 0.3795 0.5098 
1321 0.3793 0.5083 
1322 0.3783 0.5084 
1323 0.3776 0.5079 
1324 0.3765 0.5076 
1325 0.3758 0.5072 
1326 0.3750 0.5063 
1327 0.3742 0.5053 
1328 0.3732 0.5047 
1329 0.3718 0.5042 
1330 0.3709 0.5023 
1331 0.3702 0.5023 
1332 0.3700 0.5001 
1333 0.3692 0.5003 
1334 0.3676 0.4994 
1335 0.3672 0.4997 
1336 0.3656 0.4980 
1337 0.3653 0.4967 
1338 0.3642 0.4962 
1339 0.3627 0.4950 
1340 0.3624 0.4948 
1341 0.3611 0.4937 
1342 0.3619 0.4938 
1343 0.3600 0.4922 
1344 0.3587 0.4916 
1345 0.3579 0.4899 
1346 0.3574 0.4889 
1347 0.3561 0.4880 
1348 0.3559 0.4869 
1349 0.3536 0.4871 
1350 0.3529 0.4858 
1351 0.3516 0.4853 
1352 0.3518 0.4845 
1353 0.3514 0.4842 
1354 0.3509 0.4833 
1355 0.3496 0.4816 
1356 0.3481 0.4812 
1357 0.3469 0.4808 
1358 0.3462 0.4801 
1359 0.3455 0.4801 
1360 0.3458 0.4811 
1361 0.3448 0.4805 
1362 0.3451 0.4799 
1363 0.3440 0.4785 
1364 0.3424 0.4779 
1365 0.3412 0.4785 
1366 0.3405 0.4762 
1367 0.3403 0.4761 
1368 0.3379 0.4751 
1369 0.3364 0.4742 
1370 0.3344 0.4716 
1371 0.3344 0.4696 
1372 0.3311 0.4666 
1373 0.3285 0.4631 
1374 0.3263 0.4610 
1375 0.3232 0.4579 
1376 0.3205 0.4554 
1377 0.3165 0.4510 
1378 0.3152 0.4487 
1379 0.3125 0.4474 
1380 0.3106 0.4470 
1381 0.3067 0.4432 
