wavelength_nm,refractive_index,specific_abs_coeff_chl,specific_abs_coeff_car,specific_abs_coeff_cw,specific_abs_coeff_cm
702,1.41241,0.01048,0,0.006,2.3
703,1.41373,0.009594,0,0.00615,2.3
704,1.41523,0.008804,0,0.0063,2.3
705,1.41686,0.008099,0,0.00646,2.3
706,1.41859,0.007465,0,0.00663,2.3
707,1.4204,0.006892,0,0.0068,2.3
708,1.42227,0.006371,0,0.00699,2.3
709,1.42417,0.005897,0,0.0072,2.3
710,1.42611,0.005461,0,0.00742,2.3
711,1.42809,0.00506,0,0.00765,2.3
712,1.43008,0.004691,0,0.00789,2.3
713,1.4321,0.004348,0,0.00816,2.3
714,1.43413,0.004029,0,0.00845,2.3
715,1.43616,0.003732,0,0.00876,2.3
716,1.43819,0.003456,0,0.00911,2.3
717,1.44021,0.003199,0,0.00948,2.3
718,1.44223,0.00296,0,0.00987,2.3
719,1.44422,0.002736,0,0.0103,2.3
720,1.44618,0.002528,0,0.0107,2.3
721,1.44811,0.002334,0,0.0112,2.3
722,1.45,0.002153,0,0.0117,2.3
723,1.45185,0.001985,0,0.0122,2.3
724,1.45364,0.001828,0,0.0127,2.3
725,1.45539,0.001683,0,0.0132,2.3
726,1.45709,0.001549,0,0.0137,2.3
727,1.45872,0.001424,0,0.0143,2.3
728,1.4603,0.001309,0,0.0149,2.3
729,1.46181,0.001202,0,0.0155,2.3
730,1.46326,0.001103,0,0.0162,2.3
731,1.46463,0.001012,0,0.017,2.3
732,1.46593,0.0009268,0,0.0179,2.3
733,1.46715,0.0008485,0,0.0189,2.3
734,1.46831,0.0007767,0,0.0199,2.3
735,1.46939,0.0007109,0,0.021,2.3
736,1.47039,0.0006505,0,0.0221,2.3
737,1.47131,0.0005948,0,0.0231,2.3
738,1.47216,0.0005437,0,0.0239,2.3
739,1.47292,0.0004967,0,0.0247,2.3
740,1.47362,0.0004539,0,0.0253,2.3
741,1.47423,0.000415,0,0.0258,2.3
742,1.47477,0.0003794,0,0.0262,2.3
743,1.47523,0.0003471,0,0.0265,2.3
744,1.47562,0.0003176,0,0.0267,2.3
745,1.47594,0.0002909,0,0.0269,2.3
746,1.47619,0.0002666,0,0.027,2.3
747,1.47638,0.000245,0,0.0271,2.3
748,1.47651,0.0002255,0,0.0272,2.3
749,1.47659,0.0002079,0,0.0273,2.3
750,1.47663,0.0001924,0,0.0273,2.3
751,1.47663,0.0001788,0,0.0274,2.3
752,1.47659,0.0001667,0,0.0274,2.3
753,1.47652,0.0001556,0,0.0274,2.3
754,1.47642,0.0001456,0,0.0275,2.3
755,1.4763,0.0001365,0,0.0275,2.3
756,1.47616,0.0001282,0,0.0275,2.3
757,1.476,0.0001209,0,0.0276,2.3
758,1.47582,0.0001142,0,0.0276,2.3
759,1.47564,0.0001083,0,0.0277,2.3
760,1.47544,0.0001036,0,0.0277,2.3
761,1.47526,0.00009885,0,0.0277,2.3
762,1.47507,0.00009424,0,0.0277,2.3
763,1.47488,0.00008971,0,0.0277,2.3
764,1.47469,0.00008527,0,0.0277,2.3
765,1.4745,0.00008092,0,0.0277,2.3
766,1.47431,0.00007667,0,0.0277,2.3
767,1.47412,0.00007252,0,0.0277,2.3
768,1.47393,0.00006846,0,0.0276,2.3
769,1.47373,0.00006451,0,0.0276,2.3
770,1.47351,0.00006065,0,0.0275,2.3
771,1.47331,0.0000569,0,0.0275,2.3
772,1.4731,0.00005325,0,0.0275,2.3
773,1.47289,0.00004971,0,0.0274,2.3
774,1.47269,0.00004628,0,0.0273,2.3
775,1.4725,0.00004295,0,0.0272,2.3
776,1.4723,0.00003974,0,0.0271,2.3
777,1.4721,0.00003664,0,0.027,2.3
778,1.47192,0.00003365,0,0.0269,2.3
779,1.47175,0.00003078,0,0.0268,2.3
780,1.47158,0.00002802,0,0.0266,2.3
781,1.4714,0.00002539,0,0.0264,2.3
782,1.47123,0.00002287,0,0.0263,2.3
783,1.47107,0.00002048,0,0.0262,2.3
784,1.47092,0.00001821,0,0.0261,2.3
785,1.47075,0.00001606,0,0.0259,2.3
786,1.47056,0.00001404,0,0.0256,2.3
787,1.47038,0.00001215,0,0.0252,2.3
788,1.47021,0.0000104,0,0.0251,2.3
